nome,formula,classificazione principale,sottoclasse
acido ipocloroso,HClO,acido,ossiacido
acido cloroso,HClO2,acido,ossiacido
acido clorico,HClO3,acido,ossiacido
acido perclorico,HClO4,acido,ossiacido
acido nitroso,HNO2,acido,ossiacido
acido nitrico,HNO3,acido,ossiacido
acido permanganico,HMnO4,acido,ossiacido
acido solforoso,H2SO3,acido,ossiacido
acido solforico,H2SO4,acido,ossiacido
acido carbonioso,H2CO3,acido,ossiacido
acido fosforoso,H3PO3,acido,ossiacido
acido fosforico,H3PO4,acido,ossiacido
acido arsenioso,H3AsO3,acido,ossiacido
acido arsenico,H3AsO4,acido,ossiacido
acido silicico,H4SiO4,acido,ossiacido
