voce del verbo,forma,modo,tempo,persona,coniugazione,forma verbale,traduzione
laudo,attiva,indicativo,presente,1a sing.,prima,laudo,io lodo
laudo,attiva,indicativo,presente,2a sing.,prima,laudas,tu lodi
laudo,attiva,indicativo,presente,3a sing.,prima,laudat,egli loda
laudo,attiva,indicativo,presente,1a plu.,prima,laudāmus,noi lodiamo
laudo,attiva,indicativo,presente,2a plu.,prima,laudātis,voi lodate
laudo,attiva,indicativo,presente,3a plu.,prima,laudant,essi lodano
laudo,passiva,indicativo,presente,1a sing.,prima,laudor,io sono lodato
laudo,passiva,indicativo,presente,2a sing.,prima,laudāris,tu sei lodato
laudo,passiva,indicativo,presente,3a sing.,prima,laudātur,egli è lodato
laudo,passiva,indicativo,presente,1a plu.,prima,laudāmur,noi siamo lodati
laudo,passiva,indicativo,presente,2a plu.,prima,laudamĭni,voi siete lodati
laudo,passiva,indicativo,presente,3a plu.,prima,laudāntur,essi sono lodati
sum,attiva,imperativo,presente,singolare,propria,es,tu sei
sum,attiva,imperativo,presente,plurale,propria,este,voi siete
sum,attiva,infinito,presente,,propria,esse,essere
sum,attiva,indicativo,presente,1a sing.,propria,sum,io sono
sum,attiva,indicativo,presente,2a sing.,propria,es,tu sei
sum,attiva,indicativo,presente,3a sing.,propria,este,voi siete
sum,attiva,indicativo,presente,1a plu.,propria,sumus,noi siamo
sum,attiva,indicativo,presente,2a plu.,propria,estis,voi siete
sum,attiva,indicativo,presente,3a plu.,propria,sunt,essi sono
moneo,attiva,indicativo,presente,1a sing.,seconda,moneo,io ammonisco
moneo,attiva,indicativo,presente,2a sing.,seconda,mones,tu ammonisci
moneo,attiva,indicativo,presente,3a sing.,seconda,monet,egli ammonisce
moneo,attiva,indicativo,presente,1a plu.,seconda,monēmus,noi ammoniamo
moneo,attiva,indicativo,presente,2a plu.,seconda,monētis,voi ammonite
moneo,attiva,indicativo,presente,3a plu.,seconda,monent,essi ammoniscono
moneo,passiva,indicativo,presente,1a sing.,seconda,monĕor,io sono ammonito
moneo,passiva,indicativo,presente,2a sing.,seconda,monēris,tu sei ammonito
moneo,passiva,indicativo,presente,3a sing.,seconda,monētur,egli è ammonito
moneo,passiva,indicativo,presente,1a plu.,seconda,monēmur,noi siamo ammoniti
moneo,passiva,indicativo,presente,2a plu.,seconda,monemĭni,voi siete ammoniti
moneo,passiva,indicativo,presente,3a plu.,seconda,monēntur,essi sono ammoniti
lego,attiva,indicativo,presente,1a sing.,terza,lego,io leggo
lego,attiva,indicativo,presente,2a sing.,terza,legis,tu leggi
lego,attiva,indicativo,presente,3a sing.,terza,legit,egli legge
lego,attiva,indicativo,presente,1a plu.,terza,legĭmus,noi leggiamo
lego,attiva,indicativo,presente,2a plu.,terza,legĭtis,voi leggete
lego,attiva,indicativo,presente,3a plu.,terza,legunt,essi leggono
lego,passiva,indicativo,presente,1a sing.,terza,legor,io sono letto
lego,passiva,indicativo,presente,2a sing.,terza,legĕris,tu sei letto
lego,passiva,indicativo,presente,3a sing.,terza,legĭtur,egli è letto
lego,passiva,indicativo,presente,1a plu.,terza,legĭmur,noi siamo letti
lego,passiva,indicativo,presente,2a plu.,terza,legimĭni,voi siete letti
lego,passiva,indicativo,presente,3a plu.,terza,legūntur,essi sono letti
audio,attiva,indicativo,presente,1a sing.,quarta,audio,io ascolto
audio,attiva,indicativo,presente,2a sing.,quarta,audis,tu ascolti
audio,attiva,indicativo,presente,3a sing.,quarta,audit,egli ascolta
audio,attiva,indicativo,presente,1a plu.,quarta,audīmus,noi ascoltiamo
audio,attiva,indicativo,presente,2a plu.,quarta,audītis,voi ascoltate
audio,attiva,indicativo,presente,3a plu.,quarta,audiunt,essi ascoltano
audio,passiva,indicativo,presente,1a sing.,quarta,audior,io sono ascoltato
audio,passiva,indicativo,presente,2a sing.,quarta,audīris,tu sei ascoltato
audio,passiva,indicativo,presente,3a sing.,quarta,audītur,egli è ascoltato
audio,passiva,indicativo,presente,1a plu.,quarta,audīmur,noi siamo ascoltati
audio,passiva,indicativo,presente,2a plu.,quarta,audimĭni,voi siete ascoltati
audio,passiva,indicativo,presente,3a plu.,quarta,audiūntur,essi sono ascoltati
laudo ,attiva,imperativo,presente,singolare,prima,lauda!,loda!
laudo ,attiva,imperativo,presente,plurale,prima,laudate!,lodate!
moneo,attiva,imperativo,presente,singolare,seconda,mone!,ammonisci!
moneo,attiva,imperativo,presente,plurale,seconda,monete!,ammonite!
lego,attiva,imperativo,presente,singolare,terza,lege!,leggi!
lego,attiva,imperativo,presente,plurale,terza,legite!,leggete!
audio,attiva,imperativo,presente,singolare,quarta,audi!,ascolta!
audio,attiva,imperativo,presente,plurale,quarta,audite!,ascoltate!
capio,attiva,indicativo,presente,1a sing.,mista,capio,io prendo
capio,attiva,indicativo,presente,2a sing.,mista,capis,tu prendi
capio,attiva,indicativo,presente,3a sing.,mista,capit,egli prende
capio,attiva,indicativo,presente,1a plu.,mista,capimus,noi prendiamo
capio,attiva,indicativo,presente,2a plu.,mista,capitis,voi prendete
capio,attiva,indicativo,presente,3a plu.,mista,capiunt,essi prendono
capio,passiva,indicativo,presente,1a sing.,mista,capior,io sono preso
