coniugazione,verbo,traduzione
I coniugazione,celĕbro  -as  -āre,celebrare  frequentare
II coniugazione,detĭneo  -es  -ēre,trattenere  arrestare
II coniugazione,lugeo  -es  -ēre,essere addolorati  in lutto
III coniugazione,frango  -is  -ĕre,spezzare  rompere
III coniugazione,peto  -is  -ĕre,chiedere
III coniugazione,reddo  -is  -ĕre,restituire
III coniugazione,sumo  -is  -ĕre,prendere  afferrare
IV coniugazione,erudio  -is  -īre,educare  insegnare
IV coniugazione,exaudio  -is  -īre,ascoltare  esaudire
IV coniugazione,gestio  -is  -īre,esaltarsi
IV coniugazione,servio  -is  -īre,essere schiavi
coniugazione mista,aspicio  -is  -ĕre,osservare  scorgere  guardare
coniugazione mista,elĭcio  -is  -ĕre,attirare  far uscire
coniugazione mista,pario  -is  -ĕre,partorire
coniugazione mista,quatio  -is  -ĕre,scuotere
coniugazione mista,refĭcio  -is  -ĕre,rifare  ricostruire
I coniugazione,do  -as  -ăre1,dare
I coniugazione,iŭvo  -as  -āre,aiutare  giovare
I coniugazione,laudo  -as  -āre,lodare
I coniugazione,nĕgo  -as  -āre,dire di no  negare
I coniugazione,orno  -as  -āre,ornare
I coniugazione,păro  -as  -āre,preparare
I coniugazione,pugno  -as  -āre,combattere
I coniugazione,tolĕro  -as  -āre,tollerare
II coniugazione,habĕo  -es  -ēre,avere
II coniugazione,manĕo  -es  -ēre,rimanere
II coniugazione,monĕo  -es  -ēre,ammonire
II coniugazione,praebĕo  -es  -ēre,offrire
II coniugazione,respondĕo  -es  -ēre,rispondere
II coniugazione,tenĕo  -es  -ēre,tenere
II coniugazione,vidĕo  -es  -ēre,vedere
III coniugazione,ăgo  -is  -ĕre,condurre  fare  agire
III coniugazione,căno  -is  -ĕre,cantare
III coniugazione,dīco  -is  -ĕre,dire
III coniugazione,dilĭgo  -is  -ĕre,amare
III coniugazione,dūco  -is  -ĕre,condurre  guidare
III coniugazione,lĕgo  -is  -ĕre,leggere  raccogliere
III coniugazione,scrībo  -is  -ĕre,scrivere
III coniugazione,sperno  -is  -ĕre,disprezzare
III coniugazione,trado  -is  -ĕre,trasmettere
III coniugazione,vīvo  -is  -ĕre,vivere
IV coniugazione,audĭo  -is  -īre,ascoltare  udire
IV coniugazione,nescĭo  -is  -īre,non sapere
IV coniugazione,punĭo  -is  -īre,punire
IV coniugazione,salĭo  -is  -īre,saltare
IV coniugazione,scĭo  -is  -īre,sapere  conoscere
IV coniugazione,venĭo  -is  -īre,venire  andare
coniugazione mista,accipĭo  -is  -ĕre,ricevere
coniugazione mista,aspicĭo  -is  -ĕre,osservare
coniugazione mista,capĭo  -is  -ĕre,prendere
coniugazione mista,facĭo  -is  -ĕre,fare
coniugazione mista,fugĭo  -is  -ĕre,fuggire
coniugazione mista,rapĭo  -is  -ĕre,rapire
I coniugazione,communĭco  -as  -āre,mettere in comune  condividere
I coniugazione,interrŏgo  -as  -āre,domandare  interrogare
I coniugazione,insulto  -as  -āre,maltrattare
I coniugazione,năto  -as  -āre,nuotare
I coniugazione,nuntĭo  -as  -āre,annunciare
I coniugazione,perăgro  -as  -āre,percorrere
I coniugazione,porto  -as  -āre,portare  trasportare
I coniugazione,propĕro  -as  -āre,affrettarsi
I coniugazione,recūso  -as  -āre,rifiutare  rifiutarsi (di)
I coniugazione,trucīdo  -as  -āre,trucidare
I coniugazione,vecto  -as  -āre,trasportare
I coniugazione,vindĭco  -as  -āre,vendicare  rivendicare
II coniugazione,delĕo  -es  -ēre,distruggere
II coniugazione,docĕo  -es  -ēre,insegnare
II coniugazione,movĕo  -es  -ēre,muovere  commuovere
II coniugazione,obsidĕo  -es  -ēre,assediare
III coniugazione,cŏlo  -is  -ĕre,coltivare  venerare  praticare
III coniugazione,congĕro  -is  -ĕre,accumulare
III coniugazione,contendo  -is  -ĕre,contendere  dirigersi
III coniugazione,curro  -is  -ĕre,correre
III coniugazione,descendo  -is  -ĕre,allontanarsi
III coniugazione,mitto  -is  -ĕre,mandare
III coniugazione,opprĭmo  -is  -ĕre,opprimere
III coniugazione,procēdo  -is  -ĕre,procedere
III coniugazione,relinquo  -is  -ĕre,lasciare
III coniugazione,repōno  -is  -ĕre,riporre
III coniugazione,revīso  -is  -ĕre,rivedere
III coniugazione,solvo  -is  -ĕre,sciogliere  alleviare
III coniugazione,tĕgo  -is  -ĕre,coprire
III coniugazione,tollo  -is  -ĕre,togliere  sollevare
IV coniugazione,custōdio  -is  -īre,custodire
IV coniugazione,invĕnĭo  -is  -īre,trovare
IV coniugazione,munĭo  -is  -īre,fortificare
IV coniugazione,oboedĭo  -is  -īre,obbedire
IV coniugazione,pervenĭo  -is  -īre,arrivare  giungere
coniugazione mista,cupĭo  -is  -ĕre,desiderare
coniugazione mista,iacĭo  -is  -ĕre,scagliare
I coniugazione,agĭto  -as  -āre,cacciare
